bar,mouse_x,mouse_y,cat_x,cat_y,vision_slice,brain_energy,output_energy,output_action,move_dist
1,16,82,55,45,3,0,1,3,1
2,11,81,60,40,3,0,1,3,1
3,8,78,65,35,3,0,1,3,1
4,3,79,70,30,3,0,1,3,1
5,7,82,75,25,3,0,1,3,1
6,6,87,80,20,3,0,1,3,1
7,3,83,85,15,3,0,1,3,1
8,0,79,90,10,3,0,1,3,1
9,96,76,95,5,3,0,1,3,1
10,1,77,100,0,3,0,1,3,1
11,96,79,100,0,3,0,1,3,1
12,93,76,100,0,3,0,1,3,1
13,89,73,100,0,3,0,1,3,1
14,84,71,100,0,3,0,1,3,1
15,83,66,100,0,3,0,1,3,1
16,84,71,100,0,3,0,1,3,1
17,79,70,100,0,3,0,1,3,1
18,76,73,100,0,3,0,1,3,1
19,80,76,100,0,3,0,1,3,1
20,85,75,100,0,3,0,1,3,1
21,89,78,100,0,3,0,1,3,1
22,94,81,100,0,3,0,1,3,1
23,89,83,100,0,3,0,1,3,1
24,84,83,100,0,3,0,1,3,1
25,80,85,100,0,3,0,1,3,1
26,84,89,100,0,3,0,1,3,1
27,84,84,100,0,3,0,1,3,1
28,79,84,100,0,3,0,1,3,1
29,82,79,100,0,3,0,1,3,1
30,85,83,100,0,3,0,1,3,1
31,86,88,100,0,3,0,1,3,1
32,89,84,100,0,3,0,1,3,1
33,94,83,100,0,3,0,1,3,1
34,99,83,100,0,3,0,1,3,1
35,4,82,100,0,0,1,0,0,0
36,9,83,100,0,0,2,0,0,0
37,5,80,100,0,0,3,0,0,0
38,0,82,100,0,0,4,0,0,0
39,5,84,100,0,0,5,0,0,0
40,6,79,100,0,0,6,0,0,0
41,7,84,100,0,0,7,0,0,0
42,12,86,100,0,0,8,0,0,0
43,14,81,100,0,0,9,0,0,0
44,18,85,100,0,0,10,0,0,0
45,15,89,100,0,0,11,0,0,0
46,20,89,100,0,0,12,0,0,0
47,23,94,90,0,1,10,3,1,2
48,18,92,80,0,1,9,2,1,2
49,16,87,75,0,1,9,1,1,1
50,21,88,70,0,1,9,1,1,1
51,26,91,65,0,1,9,1,1,1
52,26,96,60,0,1,9,1,1,1
53,26,1,55,0,1,9,1,1,1
54,28,6,50,0,1,9,1,1,1
55,24,2,45,0,1,9,1,1,1
56,21,98,40,0,1,9,1,1,1
57,26,99,35,0,1,9,1,1,1
58,29,95,30,0,1,9,1,1,1
59,33,92,25,0,1,9,1,1,1
60,33,87,20,0,1,9,1,1,1
61,38,85,15,0,1,9,1,1,1
62,33,83,10,0,1,9,1,1,1
