step,mouse_x,mouse_y,cat_x,cat_y,vision_slice,brain_energy,output_energy,output_action,move_dist
1,16,55,50,50,0,1,0,0,0
2,14,59,50,50,0,2,0,0,0
3,10,56,50,50,0,3,0,0,0
4,15,56,50,50,0,4,0,0,0
5,12,60,50,50,0,5,0,0,0
6,17,61,50,50,0,6,0,0,0
7,18,56,50,50,0,6,0,0,0
8,20,61,50,50,0,7,0,0,0
9,15,58,50,50,0,7,0,0,0
10,20,60,50,45,2,7,1,2,1
11,23,64,50,45,0,8,0,0,0
12,26,68,50,45,0,9,0,0,0
13,21,67,50,45,0,10,0,0,0
14,16,68,50,45,0,10,0,0,0
15,12,64,50,40,2,9,2,2,1
16,7,65,40,40,4,8,2,4,2
17,10,70,40,40,0,9,0,0,0
18,14,72,40,40,0,10,0,0,0
19,19,75,40,40,0,11,0,0,0
20,22,71,45,40,5,11,1,5,1
21,27,69,45,40,0,12,0,0,0
22,30,73,50,35,3,12,1,3,1
23,34,71,50,35,0,13,0,0,0
24,32,67,50,35,0,14,0,0,0
25,33,62,55,35,5,14,1,5,1
26,28,62,50,30,1,11,3,1,1
27,23,60,50,30,0,11,0,0,0
28,23,55,50,30,0,12,0,0,0
29,19,58,50,30,0,13,0,0,0
30,21,53,45,25,1,13,1,1,1
31,24,50,45,25,0,13,0,0,0
32,21,47,50,20,3,13,1,3,1
33,24,43,55,25,8,13,1,8,1
34,22,38,55,25,0,14,0,0,0
35,17,39,55,25,0,15,0,0,0
36,21,36,50,20,1,15,1,1,1
37,26,37,55,15,3,14,1,3,1
38,22,38,55,15,0,15,0,0,0
39,17,36,55,15,0,16,0,0,0
40,17,31,50,10,1,14,3,1,1
41,12,34,55,10,5,14,1,5,1
42,9,37,55,5,2,14,1,2,1
43,4,37,55,0,2,14,1,2,1
44,99,34,60,0,5,13,2,5,1
45,94,35,60,0,0,14,0,0,0
46,90,37,60,0,0,14,0,0,0
47,87,41,60,0,0,15,0,0,0
48,82,42,60,0,2,15,1,2,1
49,82,37,60,0,2,14,1,2,1
50,85,41,65,0,3,14,1,3,1
51,89,40,70,0,5,14,1,5,1
52,85,40,70,0,2,12,2,2,2
53,88,43,65,0,1,12,1,1,1
54,91,39,60,0,1,12,1,1,1
55,96,41,65,0,5,11,1,5,1
56,94,45,65,0,0,12,0,0,0
57,90,43,70,0,3,11,2,3,1
58,92,47,75,0,3,11,1,3,1
59,95,43,70,0,1,10,2,1,1
60,97,47,75,0,3,10,1,3,1
61,95,43,80,0,5,10,1,5,1
62,99,40,80,0,0,11,0,0,0
63,4,41,85,0,3,10,1,3,1
64,8,37,85,0,0,10,0,0,0
65,5,42,85,0,0,10,0,0,0
66,10,43,85,0,0,11,0,0,0
67,15,41,80,0,1,11,1,1,1
68,13,46,80,0,0,11,0,0,0
69,10,50,85,0,5,11,1,5,1
70,12,55,90,0,3,11,1,3,1
71,9,51,90,0,0,12,0,0,0
72,13,49,90,0,0,13,0,0,0
73,18,49,95,0,3,12,2,3,1
74,23,50,95,0,0,13,0,0,0
75,25,55,100,0,3,13,1,3,1
76,23,50,100,0,3,13,1,3,1
77,20,54,100,0,3,13,1,3,1
78,23,50,100,0,0,13,0,0,0
79,21,55,100,0,0,13,0,0,0
80,24,59,100,0,3,11,3,3,2
81,22,54,100,0,5,11,1,5,1
82,24,58,100,0,0,10,0,0,0
83,20,60,95,0,1,9,2,1,1
84,15,61,90,0,1,9,1,1,1
85,12,65,90,0,0,10,0,0,0
86,12,60,85,0,4,9,2,4,1
